,avg poll conc.,stack speed,wind speed,Wind dir,Stack height,Q,long,lat,Z0,X,Y,Z,conc. at a point,output,day,month,year,season
0,63.31512125119641,0.298215819460689,4.49391101976484,5.0,247.9506548939662,249.578512723161,6.0,9.0,0.5,624.0,786.0,412.0,8.437654082417998e-17,79.12915681312755,1.0,1.0,2017.0,13.0
1,75.75907797355728,3.5279189840192813,5.458339521388829,6.0,258.5494584806943,369.3453906963546,8.0,4.0,2.0,160.0,277.0,53.0,1.9964355058497146e-13,83.45518363290275,2.0,1.0,2017.0,13.0
2,46.39386585119636,1.370530516671059,3.5429132555509755,6.0,234.27020427245,226.41577653117304,1.0,2.0,0.0002,135.0,2.0,84.0,2.0743159272705415e-17,84.40001099848759,3.0,1.0,2017.0,13.0
3,63.234551273495356,2.7201166757715955,6.8481038806254855,5.0,260.79732497632784,202.49332067483428,8.0,4.0,2.0,607.0,907.0,860.0,8.224890739626057e-23,74.94034626644722,4.0,1.0,2017.0,13.0
4,41.48991026590007,2.573847013525977,2.3097454282117083,3.0,253.46293979591488,371.9833230137346,4.0,6.0,0.1,375.0,789.0,50.0,5.355154751817095e-51,72.04477609933996,5.0,1.0,2017.0,13.0
5,52.75246516674089,3.6795672928889727,3.6533082862719577,6.0,228.37566674348113,160.3688327398704,7.0,2.0,1.0,157.0,496.0,21.0,2.136564496419299e-49,67.21042448586623,6.0,1.0,2017.0,13.0
6,64.51466852907036,4.178887033430411,4.8986292974338115,0.0,207.7296769933107,246.10428697326773,7.0,2.0,1.0,261.0,700.0,169.0,6.155142765925708e-33,64.81662536921688,7.0,1.0,2017.0,13.0
7,66.61120018378693,5.440522703306,5.600097952064606,1.0,248.6534884685368,266.7361438919641,1.0,2.0,0.0002,447.0,234.0,253.0,8.342004598023459e-25,79.53638506629937,8.0,1.0,2017.0,13.0
8,56.341052360723246,3.8831392997932586,4.062480872253719,6.0,236.13749081078853,269.0105676565346,7.0,2.0,1.0,299.0,196.0,108.0,1.2877601095005963e-05,70.32023658888227,9.0,1.0,2017.0,13.0
9,58.68129456467586,2.8653672777067136,3.6229508242298962,0.0,279.9380873440567,285.0280435741793,7.0,2.0,1.0,521.0,394.0,297.0,8.132211403985397e-08,76.28914074780612,10.0,1.0,2017.0,13.0
