,wind speed,Wind dir,long,lat,season,day,month,year,time,temp
0,11.034206960652801,2.0,6.0,9.0,2.0,1.0,1.0,2017.0,0.0,63.5
1,9.181151662022657,4.0,5.0,3.0,2.0,2.0,1.0,2017.0,1.0,71.5
2,8.56270566841564,1.0,8.0,4.0,2.0,3.0,1.0,2017.0,2.0,47.0
3,8.591456947001351,4.0,6.0,9.0,2.0,4.0,1.0,2017.0,3.0,71.5
4,8.053325695243668,0.0,7.0,2.0,2.0,5.0,1.0,2017.0,4.0,75.0
5,9.064678054708581,3.0,4.0,6.0,2.0,6.0,1.0,2017.0,5.0,75.0
6,8.609553685388079,4.0,2.0,4.0,2.0,7.0,1.0,2017.0,6.0,75.0
7,7.132394113315234,6.0,5.0,3.0,2.0,8.0,1.0,2017.0,7.0,57.5
8,8.852256994267972,3.0,4.0,6.0,2.0,9.0,1.0,2017.0,8.0,57.5
9,8.626872716446652,7.0,4.0,6.0,2.0,10.0,1.0,2017.0,9.0,55.5
10,11.897158734911585,2.0,7.0,2.0,2.0,11.0,1.0,2017.0,10.0,47.0
11,7.482869440681641,1.0,4.0,6.0,2.0,12.0,1.0,2017.0,11.0,38.0
12,8.519029551740001,7.0,5.0,3.0,2.0,13.0,1.0,2017.0,12.0,45.5
13,9.825021494577715,4.0,4.0,6.0,2.0,14.0,1.0,2017.0,13.0,47.0
14,10.329490230342223,4.0,7.0,2.0,2.0,15.0,1.0,2017.0,14.0,47.0
15,10.00926368012563,1.0,1.0,2.0,2.0,16.0,1.0,2017.0,15.0,68.5
16,11.750758586291102,7.0,5.0,3.0,2.0,17.0,1.0,2017.0,16.0,55.5
17,10.71049832181355,2.0,4.0,6.0,2.0,18.0,1.0,2017.0,17.0,75.0
18,8.271327730638276,5.0,9.0,1.0,2.0,19.0,1.0,2017.0,18.0,47.0
19,12.09628441077203,4.0,6.0,9.0,2.0,20.0,1.0,2017.0,19.0,45.5
20,9.38323059010176,6.0,6.0,9.0,2.0,21.0,1.0,2017.0,20.0,75.0
21,10.12158150435688,6.0,7.0,2.0,2.0,22.0,1.0,2017.0,21.0,57.5
22,9.986822214226041,1.0,6.0,9.0,2.0,23.0,1.0,2017.0,22.0,68.5
23,10.94393716049399,2.0,8.0,4.0,2.0,24.0,1.0,2017.0,23.0,71.5
24,11.260091640560743,2.0,2.0,4.0,2.0,25.0,1.0,2017.0,24.0,38.0
25,11.529485099768602,3.0,5.0,3.0,2.0,26.0,1.0,2017.0,0.0,75.0
26,9.64863697171028,0.0,6.0,9.0,2.0,27.0,1.0,2017.0,1.0,38.0
27,9.554679829031272,1.0,5.0,3.0,2.0,28.0,1.0,2017.0,2.0,47.0
28,7.682045967972648,0.0,6.0,9.0,2.0,29.0,1.0,2017.0,3.0,55.5
29,10.026880649155636,1.0,5.0,3.0,2.0,30.0,1.0,2017.0,4.0,68.5
30,10.340325281285844,5.0,3.0,8.0,2.0,31.0,1.0,2017.0,5.0,75.0
31,9.178883729563545,4.0,3.0,8.0,2.0,1.0,2.0,2017.0,6.0,38.0
32,6.18989984696694,0.0,1.0,2.0,2.0,2.0,2.0,2017.0,7.0,55.5
33,10.094489014342177,1.0,3.0,8.0,2.0,3.0,2.0,2017.0,8.0,68.5
34,11.09588316786542,3.0,9.0,1.0,2.0,4.0,2.0,2017.0,9.0,71.5
35,9.38453612803652,0.0,7.0,2.0,2.0,5.0,2.0,2017.0,10.0,45.5
36,9.94753355247655,0.0,5.0,3.0,2.0,6.0,2.0,2017.0,11.0,57.5
37,7.520799854556643,7.0,3.0,8.0,2.0,7.0,2.0,2017.0,12.0,68.5
38,8.441720878948225,5.0,5.0,3.0,2.0,8.0,2.0,2017.0,13.0,38.0
39,8.404254035661886,6.0,6.0,9.0,2.0,9.0,2.0,2017.0,14.0,63.5
40,8.864407897860938,3.0,1.0,2.0,2.0,10.0,2.0,2017.0,15.0,38.0
41,8.966489437608615,1.0,7.0,2.0,2.0,11.0,2.0,2017.0,16.0,63.5
42,10.203420500984128,3.0,6.0,9.0,2.0,12.0,2.0,2017.0,17.0,47.0
43,9.886818825658871,4.0,6.0,9.0,2.0,13.0,2.0,2017.0,18.0,75.0
44,9.956132432556029,6.0,2.0,4.0,2.0,14.0,2.0,2017.0,19.0,55.5
45,9.613839563452698,7.0,1.0,2.0,2.0,15.0,2.0,2017.0,20.0,45.5
46,12.292309817993115,1.0,1.0,2.0,2.0,16.0,2.0,2017.0,21.0,75.0
47,11.902384484722386,7.0,1.0,2.0,2.0,17.0,2.0,2017.0,22.0,75.0
48,11.777291353141498,3.0,7.0,2.0,2.0,18.0,2.0,2017.0,23.0,57.5
49,12.666448869800899,7.0,4.0,6.0,2.0,19.0,2.0,2017.0,24.0,63.5
50,8.481282899182634,2.0,6.0,9.0,2.0,20.0,2.0,2017.0,0.0,38.0
