,avg poll conc.,stack speed,wind speed,Wind dir,Stack height,Q,long,lat,Z0,X,Y,Z,conc. at a point,output,day,month,year
0,55.54489239829517,2.7055763953892984,5.897734452192447,4.0,252.01098926778494,326.04449475956187,2.0,4.0,0.005,442.0,601.0,377.0,9.302417602495136e-69,72.32270358261083,1.0,1.0,2017.0
1,68.83412561904504,3.439567679804916,4.6397757563861575,0.0,208.03184395885592,210.36934818190736,2.0,4.0,0.005,385.0,740.0,931.0,0.0,78.52302207493955,2.0,1.0,2017.0
2,75.25413831357487,5.752246403407411,1.892010859480247,2.0,254.72718978531552,218.20605869494972,9.0,1.0,4.0,975.0,13.0,458.0,2.496168900700731e-05,72.65054316721543,3.0,1.0,2017.0
3,51.49558680863317,0.3412468519296801,4.208217640683071,6.0,260.07149153292715,420.4925439132103,7.0,2.0,1.0,283.0,381.0,257.0,1.2565161170498699e-13,81.97125250634953,4.0,1.0,2017.0
4,67.01198827150286,0.6899932407549114,1.4329961993522353,3.0,275.25164461819367,354.0012961311081,1.0,2.0,0.0002,147.0,545.0,501.0,0.0,81.2029219153978,5.0,1.0,2017.0
5,59.90059057865727,5.00330717061582,6.353912438520461,5.0,267.66242144293096,186.7906864029315,7.0,2.0,1.0,333.0,191.0,702.0,3.6087700596660204e-42,66.28294182729674,6.0,1.0,2017.0
6,48.99829224982394,6.2864784377979905,1.4783992934783559,2.0,272.16670585350266,271.0176596197331,1.0,2.0,0.0002,519.0,662.0,358.0,2.3723457096865216e-97,56.9190109527536,7.0,1.0,2017.0
7,56.65941275522361,4.746579963915049,4.791682235258911,3.0,303.5517931745492,362.5596114489632,2.0,4.0,0.005,860.0,312.0,136.0,4.2530478477729203e-07,67.52534834790876,8.0,1.0,2017.0
8,67.45399490165565,3.8749837782152743,4.710354176015962,2.0,253.25247026695956,142.45341170210165,4.0,6.0,0.1,810.0,617.0,226.0,9.542752562600986e-11,58.29637686308962,9.0,1.0,2017.0
9,53.96932995376906,2.1657130040926553,4.207589635495537,6.0,262.8979047642346,333.62966732128393,1.0,2.0,0.0002,30.0,386.0,849.0,0.0,77.05497195345609,10.0,1.0,2017.0
10,54.13845886435262,4.156846434161622,4.521992695053894,5.0,272.8852348043874,37.55688720653012,6.0,9.0,0.5,510.0,217.0,483.0,1.4149490220472147e-13,83.41353271322647,11.0,1.0,2017.0
11,49.61108849625322,2.922262006055353,5.470755407355577,4.0,289.92191971524534,192.21712793251461,7.0,2.0,1.0,884.0,638.0,519.0,1.8696110668831546e-09,78.83009083839647,12.0,1.0,2017.0
12,58.607344771056134,2.3246123883242293,4.459053313699072,6.0,258.84962729184474,187.71255993756762,2.0,4.0,0.005,999.0,324.0,57.0,6.027575708179362e-07,63.86092008795084,13.0,1.0,2017.0
13,62.070880562446185,3.094344409530741,4.5597446511654445,3.0,239.24745996227793,251.04726522634274,9.0,1.0,4.0,218.0,894.0,218.0,5.89320108851052e-32,79.25926617169003,14.0,1.0,2017.0
14,80.56406229873534,1.2039889566645794,4.159069009104206,0.0,258.08341694570055,311.3234399764395,6.0,9.0,0.5,47.0,873.0,327.0,0.0,73.10924548699418,15.0,1.0,2017.0
15,48.50758443832879,4.407476530760099,3.9252323964691564,7.0,235.910147849717,303.2990288128475,5.0,3.0,0.25,296.0,736.0,950.0,1.9759455494723605e-228,73.7091835328455,16.0,1.0,2017.0
16,56.60108697899106,3.183780321736254,4.5434169341357675,7.0,240.41791033399187,209.73025676911607,7.0,2.0,1.0,189.0,446.0,563.0,2.879165759900218e-91,66.07800694706478,17.0,1.0,2017.0
17,52.86935663227683,1.7433557817535432,3.0639310556505257,6.0,253.40322508679674,314.13714445922085,7.0,2.0,1.0,800.0,550.0,633.0,2.0835668050078244e-11,62.864785907711955,18.0,1.0,2017.0
18,70.84324092343105,1.9763586043371937,5.123559451588829,1.0,277.1117119828116,310.02573470972766,7.0,2.0,1.0,884.0,77.0,329.0,2.0033860139384844e-05,67.43903248603803,19.0,1.0,2017.0
19,57.92246081402132,5.5841960935427615,1.750200038403082,4.0,211.14143972807054,294.5782596671672,6.0,9.0,0.5,896.0,791.0,188.0,1.0447010916362845e-08,82.32611192752381,20.0,1.0,2017.0
